Provinsi ,GDP,Per Pulau,Reference Level Pemerintahan,Reference Level Pulau,RLPemerintahan1,RLPemerintahan2,RLPemerintahan3,Pulau Jawa,Diluar Pulau Jawa
Provinsi Aceh,126824365.24,Sumatra,1,1,1,0,0,0,1
Provinsi Kepulauan Riau,482064628.98,Sumatra,1,1,1,0,0,0,1
Provinsi Jambi,142901995.81,Sumatra,1,1,1,0,0,0,1
Provinsi Sumatera Selatan,298484068.40,Sumatra,1,1,1,0,0,0,1
Provinsi Lampung,232165986.99,Sumatra,1,1,1,0,0,0,1
Provinsi Bangka Belitung,52208035.50,Bangka Belitung,1,1,1,0,0,0,1
Provinsi Riau,173498751.36,Riau,1,1,1,0,0,0,1
Provinsi DKI Jakarta,1735208291.06,Jawa,0,0,0,0,0,1,0
Provinsi Jawa Tengah,941091143.86,Jawa,0,0,0,0,0,1,0
Provinsi Jawa Timur,1563441824.56,Jawa,0,0,0,0,0,1,0
Provinsi Banten,433782714.15,Jawa,0,0,0,0,0,1,0
Provinsi Nusa Tenggara Barat,90349129.08,NTB,2,1,0,1,0,0,1
Provinsi Kalimantan Barat,130596320.54,Kalimantan,2,1,0,1,0,0,1
Provinsi Kalimantan Tengah,94566247.89,Kalimantan,2,1,0,1,0,0,1
Provinsi Kalimantan Selatan,128052577.95,Kalimantan,2,1,0,1,0,0,1
Provinsi Kalimantan Timur,464694426.73,Kalimantan,2,1,0,1,0,0,1
Provinsi Kalimantan Utara,57459308.92,Kalimantan,2,1,0,1,0,0,1
Provinsi Sulawesi Utara,84249720.17,Sulawesi,2,1,0,1,0,0,1
Provinsi Sulawesi Selatan,309156193.23,Sulawesi,2,1,0,1,0,0,1
Provinsi Sulawesi Tenggara,88310047.92,Sulawesi,2,1,0,1,0,0,1
Provinsi Gorontalo,26719272.12,Sulawesi,3,1,0,0,1,0,1
Provinsi Sulawesi Barat,31114142.71,Sulawesi,3,1,0,0,1,0,1
Provinsi Maluku,29457133.27,Maluku,3,1,0,0,1,0,1
Provinsi Papua,159711852.59,Papua,3,1,0,0,1,0,1
