Provinsi ,GDP,Tahun,Kode
Provinsi Aceh,126824365.2,2018,1
Provinsi Kepulauan Riau,482064629,2018,2
Provinsi Jambi,142901995.8,2018,3
Provinsi Sumatera Selatan,298484068.4,2018,4
Provinsi Lampung,232165987,2018,5
Provinsi Bangka Belitung,52208035.5,2018,6
Provinsi Riau,173498751.4,2018,7
Provinsi DKI Jakarta,1735208291,2018,8
Provinsi Jawa Tengah,941091143.9,2018,9
Provinsi Jawa Timur,1563441825,2018,10
Provinsi Banten,433782714.2,2018,11
Provinsi Nusa Tenggara Barat,90349129.08,2018,12
Provinsi Kalimantan Barat,130596320.5,2018,13
Provinsi Kalimantan Tengah,94566247.89,2018,14
Provinsi Kalimantan Selatan,128052578,2018,15
Provinsi Kalimantan Timur,464694426.7,2018,16
Provinsi Kalimantan Utara,57459308.92,2018,17
Provinsi Sulawesi Utara,84249720.17,2018,18
Provinsi Sulawesi Selatan,309156193.2,2018,19
Provinsi Sulawesi Tenggara,88310047.92,2018,20
Provinsi Gorontalo,26719272.12,2018,21
Provinsi Sulawesi Barat,31114142.71,2018,22
Provinsi Maluku,29457133.27,2018,23
Provinsi Papua,159711852.6,2018,24
