Nama Provinsi,Jenis Belanja,Tahun,Total Belanja
Provinsi Aceh,Ekonomi,2018,1499418000000.00
Provinsi Bangka Belitung,Ekonomi,2018,215896200000.00
Provinsi Banten,Ekonomi,2018,402132700000.00
Provinsi Gorontalo,Ekonomi,2018,212848100000.00
Provinsi Jambi,Ekonomi,2018,323191600000.00
Provinsi Jawa Tengah,Ekonomi,2018,470705300000.00
Provinsi Jawa Timur,Ekonomi,2018,2648389000000.00
Provinsi Kalimantan Barat,Ekonomi,2018,499048600000.00
Provinsi Kalimantan Tengah,Ekonomi,2018,458125500000.00
Provinsi Kalimantan Timur,Ekonomi,2018,502234100000.00
Provinsi Kalimantan Utara,Ekonomi,2018,211339200000.00
Provinsi Kepulauan Riau,Ekonomi,2018,319379600000.00
Provinsi Lampung,Ekonomi,2018,334670000000.00
Provinsi Maluku,Ekonomi,2018,317715200000.00
Provinsi Nusa Tenggara Barat,Ekonomi,2018,347100100000.00
Provinsi Papua,Ekonomi,2018,613233200000.00
Provinsi Riau,Ekonomi,2018,426905400000.00
Provinsi Sulawesi Barat,Ekonomi,2018,206091100000.00
Provinsi Sulawesi Selatan,Ekonomi,2018,764950400000.00
Provinsi Sulawesi Tenggara,Ekonomi,2018,416271000000.00
Provinsi Sulawesi Utara,Ekonomi,2018,336182400000.00
Provinsi Sumatera Selatan,Ekonomi,2018,305048200000.00
Provinsi DKI Jakarta,Ekonomi,2018,3958590000000.00
Provinsi Kalimantan Selatan,Ekonomi,2018,587920300000.00
Provinsi Aceh,Pendidikan,2018,3011305000000.00
Provinsi Bangka Belitung,Pendidikan,2018,471811700000.00
Provinsi Banten,Pendidikan,2018,1826940000000.00
Provinsi Gorontalo,Pendidikan,2018,444787800000.00
Provinsi Jambi,Pendidikan,2018,1036488000000.00
Provinsi Jawa Tengah,Pendidikan,2018,2053826000000.00
Provinsi Jawa Timur,Pendidikan,2018,5145731000000.00
Provinsi Kalimantan Barat,Pendidikan,2018,933840800000.00
Provinsi Kalimantan Tengah,Pendidikan,2018,859612100000.00
Provinsi Kalimantan Timur,Pendidikan,2018,1084998000000.00
Provinsi Kalimantan Utara,Pendidikan,2018,388190400000.00
Provinsi Kepulauan Riau,Pendidikan,2018,692173500000.00
Provinsi Lampung,Pendidikan,2018,1541543000000.00
Provinsi Maluku,Pendidikan,2018,739524200000.00
Provinsi Nusa Tenggara Barat,Pendidikan,2018,1179032000000.00
Provinsi Papua,Pendidikan,2018,1355277000000.00
Provinsi Riau,Pendidikan,2018,1887408000000.00
Provinsi Sulawesi Barat,Pendidikan,2018,330448100000.00
Provinsi Sulawesi Selatan,Pendidikan,2018,2671599000000.00
Provinsi Sulawesi Tenggara,Pendidikan,2018,1051761000000.00
Provinsi Sulawesi Utara,Pendidikan,2018,927753000000.00
Provinsi Sumatera Selatan,Pendidikan,2018,1626557000000.00
Provinsi DKI Jakarta,Pendidikan,2018,15083620000000.00
Provinsi Kalimantan Selatan,Pendidikan,2018,1275230000000.00
Provinsi Aceh,Ekonomi,2019,1696966000000.00
Provinsi Bangka Belitung,Ekonomi,2019,266897300000.00
Provinsi Banten,Ekonomi,2019,537215500000.00
Provinsi Gorontalo,Ekonomi,2019,232879000000.00
Provinsi Jambi,Ekonomi,2019,375655400000.00
Provinsi Jawa Tengah,Ekonomi,2019,671886900000.00
Provinsi Jawa Timur,Ekonomi,2019,2633770000000.00
Provinsi Kalimantan Barat,Ekonomi,2019,497791300000.00
Provinsi Kalimantan Tengah,Ekonomi,2019,449411300000.00
Provinsi Kalimantan Timur,Ekonomi,2019,630082600000.00
Provinsi Kalimantan Utara,Ekonomi,2019,220402600000.00
Provinsi Kepulauan Riau,Ekonomi,2019,294883500000.00
Provinsi Lampung,Ekonomi,2019,324376800000.00
