NamaProvinsi,Jenis Belanja,Tahun,Total Belanja,Kode Provinsi
Provinsi Aceh,Pendidikan,2018,3011305000000.00,1
Provinsi Bangka Belitung,Pendidikan,2018,471811700000.00,2
Provinsi Banten,Pendidikan,2018,1826940000000.00,3
Provinsi Gorontalo,Pendidikan,2018,444787800000.00,4
Provinsi Jambi,Pendidikan,2018,1036488000000.00,5
Provinsi Jawa Tengah,Pendidikan,2018,2053826000000.00,6
Provinsi Jawa Timur,Pendidikan,2018,5145731000000.00,7
Provinsi Kalimantan Barat,Pendidikan,2018,933840800000.00,8
Provinsi Kalimantan Tengah,Pendidikan,2018,859612100000.00,9
Provinsi Kalimantan Timur,Pendidikan,2018,1084998000000.00,10
Provinsi Kalimantan Utara,Pendidikan,2018,388190400000.00,11
Provinsi Kepulauan Riau,Pendidikan,2018,692173500000.00,12
Provinsi Lampung,Pendidikan,2018,1541543000000.00,13
Provinsi Maluku,Pendidikan,2018,739524200000.00,14
Provinsi Nusa Tenggara Barat,Pendidikan,2018,1179032000000.00,15
Provinsi Papua,Pendidikan,2018,1355277000000.00,16
Provinsi Riau,Pendidikan,2018,1887408000000.00,17
Provinsi Sulawesi Barat,Pendidikan,2018,330448100000.00,18
Provinsi Sulawesi Selatan,Pendidikan,2018,2671599000000.00,19
Provinsi Sulawesi Tenggara,Pendidikan,2018,1051761000000.00,20
Provinsi Sulawesi Utara,Pendidikan,2018,927753000000.00,21
Provinsi Sumatera Selatan,Pendidikan,2018,1626557000000.00,22
Provinsi DKI Jakarta,Pendidikan,2018,15083620000000.00,23
Provinsi Kalimantan Selatan,Pendidikan,2018,1275230000000.00,24
Provinsi Aceh,Pendidikan,2019,3489979000000.00,1
Provinsi Bangka Belitung,Pendidikan,2019,610107300000.00,2
Provinsi Banten,Pendidikan,2019,2093687000000.00,3
Provinsi Gorontalo,Pendidikan,2019,472763900000.00,4
Provinsi Jambi,Pendidikan,2019,1120508000000.00,5
Provinsi Jawa Tengah,Pendidikan,2019,2479356000000.00,6
Provinsi Jawa Timur,Pendidikan,2019,6283865000000.00,7
Provinsi Kalimantan Barat,Pendidikan,2019,1143306000000.00,8
Provinsi Kalimantan Tengah,Pendidikan,2019,1029700000000.00,9
Provinsi Kalimantan Timur,Pendidikan,2019,1672970000000.00,10
Provinsi Kalimantan Utara,Pendidikan,2019,310598200000.00,11
Provinsi Kepulauan Riau,Pendidikan,2019,692437100000.00,12
Provinsi Lampung,Pendidikan,2019,1487219000000.00,13
Provinsi Maluku,Pendidikan,2019,830534700000.00,14
Provinsi Nusa Tenggara Barat,Pendidikan,2019,1197754000000.00,15
Provinsi Papua,Pendidikan,2019,2139757000000.00,16
Provinsi Riau,Pendidikan,2019,1939977000000.00,17
Provinsi Sulawesi Barat,Pendidikan,2019,440563900000.00,18
Provinsi Sulawesi Selatan,Pendidikan,2019,2636026000000.00,19
Provinsi Sulawesi Tenggara,Pendidikan,2019,1102051000000.00,20
Provinsi Sulawesi Utara,Pendidikan,2019,1040795000000.00,21
Provinsi Sumatera Selatan,Pendidikan,2019,1727503000000.00,22
Provinsi DKI Jakarta,Pendidikan,2019,21752200000000.00,23
Provinsi Kalimantan Selatan,Pendidikan,2019,1480868000000.00,24
