Nama Provinsi,Jenis Belanja,Tahun,Total Belanja,Kode Provinsi,,,,x
Provinsi Aceh,Ekonomi,2018,2.77E+13,1,,,,
Provinsi Bangka Belitung,Ekonomi,2018,5.03E+12,2,,,,
Provinsi Banten,Ekonomi,2018,2.11E+13,3,,,,
Provinsi Gorontalo,Ekonomi,2018,3.72E+12,4,,,,
Provinsi Jambi,Ekonomi,2018,9.07E+12,5,,,,
Provinsi Jawa Tengah,Ekonomi,2018,5.08E+13,6,,,,
Provinsi Jawa Timur,Ekonomi,2018,6.60E+13,7,,,,
Provinsi Kalimantan Barat,Ekonomi,2018,1.14E+13,8,,,,
Provinsi Kalimantan Tengah,Ekonomi,2018,9.79E+12,9,,,,
Provinsi Kalimantan Timur,Ekonomi,2018,2.06E+13,10,,,,
Provinsi Kalimantan Utara,Ekonomi,2018,4.93E+12,11,,,,
Provinsi Kepulauan Riau,Ekonomi,2018,6.96E+12,12,,,,
Provinsi Lampung,Ekonomi,2018,1.52E+13,13,,,,
Provinsi Maluku,Ekonomi,2018,6.15E+12,14,,,,
Provinsi Nusa Tenggara Barat,Ekonomi,2018,1.06E+13,15,,,,
Provinsi Papua,Ekonomi,2018,2.76E+13,16,,,,
Provinsi Riau,Ekonomi,2018,1.70E+13,17,,,,
Provinsi Sulawesi Barat,Ekonomi,2018,3.68E+12,18,,,,
Provinsi Sulawesi Selatan,Ekonomi,2018,1.88E+13,19,,,,
Provinsi Sulawesi Tenggara,Ekonomi,2018,7.79E+12,20,,,,
Provinsi Sulawesi Utara,Ekonomi,2018,7.79E+12,21,,,,
Provinsi Sumatera Selatan,Ekonomi,2018,1.77E+13,22,,,,
Provinsi DKI Jakarta,Ekonomi,2018,1.48E+14,23,,,,
Provinsi Kalimantan Selatan,Ekonomi,2018,1.28E+13,24,,,,
