Provinsi  Belanja2019      Belanja          GDP       Per.Pulau
1                 Provinsi Aceh 3.457254e+13 1.499418e+12 1.268244e+13         Sumatra
2      Provinsi Bangka Belitung 5.772553e+12 2.158962e+11 5.220804e+12 Bangka Belitung
3               Provinsi Banten 2.360642e+13 4.021327e+11 4.337827e+13            Jawa
4          Provinsi DKI Jakarta 1.469559e+14 3.958590e+12 1.735208e+14            Jawa
5            Provinsi Gorontalo 3.941657e+12 2.128481e+11 2.671927e+12        Sulawesi
6                Provinsi Jambi 1.006906e+13 3.231916e+11 1.429020e+13         Sumatra
7          Provinsi Jawa Tengah 5.386196e+13 4.707053e+11 9.410911e+13            Jawa
8           Provinsi Jawa Timur 7.245277e+13 2.648389e+12 1.563442e+14            Jawa
9     Provinsi Kalimantan Barat 1.203206e+13 4.990486e+11 1.305963e+13      Kalimantan
10  Provinsi Kalimantan Selatan 1.455319e+13 5.879203e+11 1.280526e+13      Kalimantan
11   Provinsi Kalimantan Tengah 1.074961e+13 4.581255e+11 9.456625e+12      Kalimantan
12    Provinsi Kalimantan Timur 2.502463e+13 5.022341e+11 4.646944e+13      Kalimantan
13    Provinsi Kalimantan Utara 5.241896e+12 2.113392e+11 5.745931e+12      Kalimantan
14      Provinsi Kepulauan Riau 7.713243e+12 3.193796e+11 4.820646e+13         Sumatra
15             Provinsi Lampung 1.462584e+13 3.346700e+11 2.321660e+13         Sumatra
16              Provinsi Maluku 6.111450e+12 3.177152e+11 2.945713e+12          Maluku
17 Provinsi Nusa Tenggara Barat 1.044125e+13 3.471001e+11 9.034913e+12             NTB
18               Provinsi Papua 2.979642e+13 6.132332e+11 1.597119e+13           Papua
19                Provinsi Riau 1.746200e+13 4.269054e+11 1.734988e+13            Riau
20      Provinsi Sulawesi Barat 4.230395e+12 2.060911e+11 3.111414e+12        Sulawesi
21    Provinsi Sulawesi Selatan 1.917249e+13 7.649504e+11 3.091562e+13        Sulawesi
22   Provinsi Sulawesi Tenggara 8.895361e+12 4.162710e+11 8.831005e+12        Sulawesi
23      Provinsi Sulawesi Utara 8.548986e+12 3.361824e+11 8.424972e+12        Sulawesi
24    Provinsi Sumatera Selatan 1.958530e+13 3.050482e+11 2.984841e+13         Sumatra
