Provinsi,IPM,Tahun,Kode
ACEH,71.19,2018,1
SUMATERA UTARA,71.18,2018,2
SUMATERA BARAT,71.73,2018,3
RIAU,72.44,2018,4
JAMBI,70.65,2018,5
SUMATERA SELATAN,69.39,2018,6
BENGKULU,70.64,2018,7
LAMPUNG,69.02,2018,8
KEP. BANGKA BELITUNG,70.67,2018,9
KEP. RIAU,74.84,2018,10
DKI JAKARTA,80.47,2018,11
JAWA BARAT,71.3,2018,12
JAWA TENGAH,71.12,2018,13
DI YOGYAKARTA,79.53,2018,14
JAWA TIMUR,70.77,2018,15
BANTEN,71.95,2018,16
BALI,74.77,2018,17
NUSA TENGGARA BARAT,67.3,2018,18
NUSA TENGGARA TIMUR,64.39,2018,19
KALIMANTAN BARAT,66.98,2018,20
KALIMANTAN TENGAH,70.42,2018,21
KALIMANTAN SELATAN,70.17,2018,22
KALIMANTAN TIMUR,75.83,2018,23
KALIMANTAN UTARA,70.56,2018,24
SULAWESI UTARA,72.2,2018,25
SULAWESI TENGAH,68.88,2018,26
SULAWESI SELATAN,70.9,2018,27
SULAWESI TENGGARA,70.61,2018,28
GORONTALO,67.71,2018,29
SULAWESI BARAT,65.1,2018,30
MALUKU,68.87,2018,31
MALUKU UTARA,67.76,2018,32
PAPUA BARAT,63.74,2018,33
PAPUA,60.06,2018,34
ACEH,71.9,2019,1
SUMATERA UTARA,71.74,2019,2
SUMATERA BARAT,72.39,2019,3
RIAU,73,2019,4
JAMBI,71.26,2019,5
SUMATERA SELATAN,70.02,2019,6
BENGKULU,71.21,2019,7
LAMPUNG,69.57,2019,8
KEP. BANGKA BELITUNG,71.3,2019,9
KEP. RIAU,75.48,2019,10
DKI JAKARTA,80.76,2019,11
JAWA BARAT,72.03,2019,12
JAWA TENGAH,71.73,2019,13
DI YOGYAKARTA,79.99,2019,14
JAWA TIMUR,71.5,2019,15
BANTEN,72.44,2019,16
BALI,75.38,2019,17
NUSA TENGGARA BARAT,68.14,2019,18
NUSA TENGGARA TIMUR,65.23,2019,19
KALIMANTAN BARAT,67.65,2019,20
KALIMANTAN TENGAH,70.91,2019,21
KALIMANTAN SELATAN,70.72,2019,22
KALIMANTAN TIMUR,76.61,2019,23
KALIMANTAN UTARA,71.15,2019,24
SULAWESI UTARA,72.99,2019,25
SULAWESI TENGAH,69.5,2019,26
SULAWESI SELATAN,71.66,2019,27
SULAWESI TENGGARA,71.2,2019,28
GORONTALO,68.49,2019,29
SULAWESI BARAT,65.73,2019,30
MALUKU,69.45,2019,31
MALUKU UTARA,68.7,2019,32
PAPUA BARAT,64.7,2019,33
PAPUA,60.84,2019,34
ACEH,71.99,2020,1
SUMATERA UTARA,71.77,2020,2
SUMATERA BARAT,72.38,2020,3
RIAU,72.71,2020,4
JAMBI,71.29,2020,5
SUMATERA SELATAN,70.01,2020,6
BENGKULU,71.4,2020,7
LAMPUNG,69.69,2020,8
KEP. BANGKA BELITUNG,71.47,2020,9
KEP. RIAU,75.59,2020,10
DKI JAKARTA,80.77,2020,11
JAWA BARAT,72.09,2020,12
JAWA TENGAH,71.87,2020,13
DI YOGYAKARTA,79.97,2020,14
JAWA TIMUR,71.71,2020,15
BANTEN,72.45,2020,16
BALI,75.5,2020,17
NUSA TENGGARA BARAT,68.25,2020,18
NUSA TENGGARA TIMUR,65.19,2020,19
KALIMANTAN BARAT,67.66,2020,20
KALIMANTAN TENGAH,71.05,2020,21
KALIMANTAN SELATAN,70.91,2020,22
KALIMANTAN TIMUR,76.24,2020,23
KALIMANTAN UTARA,70.63,2020,24
SULAWESI UTARA,72.93,2020,25
SULAWESI TENGAH,69.55,2020,26
SULAWESI SELATAN,71.93,2020,27
SULAWESI TENGGARA,71.45,2020,28
GORONTALO,68.68,2020,29
SULAWESI BARAT,66.11,2020,30
MALUKU,69.49,2020,31
MALUKU UTARA,68.49,2020,32
PAPUA BARAT,65.09,2020,33
PAPUA,60.44,2020,34
